Image,image_desc,model_name,price,from
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Samsung - Galaxy S10 (White, 8GB RAM, 128GB Storage)","Samsung - Galaxy S10 (White, 8GB  ...","₹31,570",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Samsung - Galaxy M14 5G (4GB RAM) | 128GB | Icy Silver,Samsung - Galaxy M14 5G (4GB  ...,"₹14,990",Samsung.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Samsung - Galaxy F13 | 4GB |64GB |16.62cm (6.6"") Waterfall Blue | FHD+ Display | Exynos 850 Processor | 8GB RAM|6000mAh Battery | Auto Data Switching",Samsung - Galaxy F13 | 4GB |64GB | ...,"₹10,999",Samsung.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Samsung - Galaxy M13 | 6+128GB | 6000mAh Battery |Up to 12GB RAM with RAM Plus | FHD+ Display | Auto Data Switching,Samsung - Galaxy M13 | 6+128GB |  ...,"₹12,999",Samsung.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Samsung - Galaxy S20 12GB RAM , 128GB - Cosmic Grey [Renewed] - Ovantica","Samsung - Galaxy S20 12GB RAM ,  ...","₹18,400",Ovantica.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Samsung - Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","Samsung - Galaxy M13 (Aqua Green,","₹12,999",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Samsung - Galaxy A14 5G (Light Green, 8GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 16 GB RAM with RAM Plus | Without Charger",Samsung - Galaxy A14 5G (Light  ...,"₹19,999",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Samsung - Galaxy A14 5G (Black, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger","Samsung - Galaxy A14 5G (Black,  ...","₹17,999",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Samsung - Galaxy S20 FE 5G (Cloud Mint, 8GB RAM, 128GB Storage)",Samsung - Galaxy S20 FE 5G (Cloud,"₹26,999",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Samsung - Galaxy M33 5G (Emerald Brown, 8GB, 128GB Storage) | 6000mAh Battery | 16GB RAM with RAM Plus | Without Charger",Samsung - Galaxy M33 5G (Emerald,"₹18,499",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Samsung - Galaxy S10 (Black, 8GB RAM, 128GB Storage)","Samsung - Galaxy S10 (Black, 8GB  ...","₹31,990",Amazon.in
